Language	Question	SPARQL
en	Show me stories from the Fashion Model RPF fandom	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:fandom ""Fashion Model RPF"" . ?story golem:title ?title . }"
en	Show me stories from the 复仇者联盟4：终局之战 fandom	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:fandom ""复仇者联盟4：终局之战"" . ?story golem:title ?title . }"
en	Show me stories from the DaiSuga - Fandom fandom	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:fandom ""DaiSuga - Fandom"" . ?story golem:title ?title . }"
en	Show me stories from the 卓杨 fandom	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:fandom ""卓杨"" . ?story golem:title ?title . }"
en	Show me stories from the sildoctor fandom	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:fandom ""sildoctor"" . ?story golem:title ?title . }"
en	Show me stories from the 辽 fandom	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:fandom ""辽"" . ?story golem:title ?title . }"
en	Show me stories from the Glove Puppetry RPF fandom	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:fandom ""Glove Puppetry RPF"" . ?story golem:title ?title . }"
en	Show me stories from the 大宋小吏 — 拉棉花糖的兔子 fandom	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:fandom ""大宋小吏 — 拉棉花糖的兔子"" . ?story golem:title ?title . }"
en	Show me stories from the Kim Namjoon - Fandom fandom	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:fandom ""Kim Namjoon - Fandom"" . ?story golem:title ?title . }"
en	Show me stories from the 放逐 fandom	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:fandom ""放逐"" . ?story golem:title ?title . }"
en	Show me all the stories from the CHANHUN 灿勋 universe	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title  WHERE {  ?story golem:fandom ""CHANHUN 灿勋"" . ?story golem:title ?title . }"
