Language	Question	SPARQL
en	Show me stories from the Fashion Model RPF fandom	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""Fashion Model RPF"" .
?story golem:title ?title .
}"
en	Tell me the stories from the RPF Fashion Model fandom.  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""Fashion Model RPF"" .
?story golem:title ?title .
}"
en	Can you share the RPF Fashion Model stories?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""Fashion Model RPF"" .
?story golem:title ?title .
}"
en	What's available in the RPF Fashion Model fandom?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""Fashion Model RPF"" .
?story golem:title ?title .
}"
en	I'm looking for tales from the RPF Fashion Model category.  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""Fashion Model RPF"" .
?story golem:title ?title .
}"
en	Requesting information about RPF Fashion Model stories.	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""Fashion Model RPF"" .
?story golem:title ?title .
}"
en	Show me stories from the 复仇者联盟4：终局之战 fandom	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""复仇者联盟4：终局之战"" .
?story golem:title ?title .
}"
en	Show me fanEchoes from 复仇者联盟4：终局之战.  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""复仇者联盟4：终局之战"" .
?story golem:title ?title .
}"
en	What are the fanEchoes for the final battle in 复仇者联盟 4?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""复仇者联盟4：终局之战"" .
?story golem:title ?title .
}"
en	Find me any fan stories about the end of 复仇者联盟4:终局之战.  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""复仇者联盟4：终局之战"" .
?story golem:title ?title .
}"
